id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch
21100988,56396463,3873455,612732122,404208861,151,0
5563870,14040816,3828799,193379333,185077132,74,0
5974702,15422902,3467607,209330557,207135989,36,0
16047254,12578372,4016363,487554707,487554699,31,0
6442101,16823907,3544043,223354978,202593197,3,0
16506554,12578372,4016363,499301099,498568371,48,0
44244215,107121297,3569675,1104888401,1097533373,414,0
1369590,3036700,3257571,38042223,38042210,80,0
11785400,31256652,3960886,377454329,372668760,21,0
6698257,16681737,3483589,226258313,231360380,136,0
6943615,10601382,3457655,239919491,199969979,21,0
12759963,12626878,3534284,400282626,395115846,35,0
51767002,120083495,3449208,1236140024,1172517038,43,0
8152819,14761183,3487116,274171609,274165159,48,0
34329095,87339004,4074549,904226219,795875483,94,0
60137723,132212306,3909220,1362107178,883391378,13,0
20751562,55666836,3482215,605225208,599440758,83,0
49994833,117181139,3851200,1207554117,345385606,13,0
5606276,14238891,3961663,196986558,193493354,26,0
21432708,57278806,3641965,619195631,128732075,6,0
6159408,15977064,3290882,214598529,137851354,7,0
6194237,11264531,3776200,215638741,215195795,63,0
6321529,16165557,3906049,219195429,95650324,23,0
6330976,16476394,4062707,219458678,217447827,331,0
11414595,30557113,3309141,368840390,358146675,100,0
16428724,33782376,3849878,497565654,412533945,61,0
57841932,129093086,3459120,1328685687,1328156583,452,0
38515358,87516456,4060247,992345617,346878112,76,0
11792195,31273133,3663439,377658546,322356506,41,0
11987576,31312721,3691462,382395400,382133613,37,0
12071760,31786146,3708578,384156803,359063200,35,0
16773224,44984131,3352763,505940638,505940636,1,0
17007877,33503779,3635460,511481393,420589562,18,0
17145726,33987685,3623166,514521603,513905773,40,0
12324671,32229879,3650529,390076044,268465802,1,0
12810757,33081517,3898579,401360868,401057802,263,0
33600549,85512366,3426511,889441962,887614243,3,0
33740415,86016743,3598604,892093525,661542083,5,0
17434363,45896008,3570907,521054376,518891996,53,0
33987903,86585581,3803810,897254030,892570083,438,0
34113259,86851571,3838791,899622347,899575310,330,0
21082763,56378968,3845641,612612545,522935179,276,0
5588237,11714502,3837476,195895867,195283939,127,0
26094248,68542887,3417069,727998576,587965993,155,0
15860059,39932511,3532999,481257894,481253095,11,0
6286472,16192862,3602386,218202752,217278468,36,0
6431799,13493624,3562120,223123689,222663174,14,0
11490686,30741240,3456146,370665895,282092197,4,0
32331501,44761337,4072041,861774251,858688558,151,0
16474551,38294516,3317791,498617787,490887118,12,0
16603783,11767968,4079564,501394159,382969367,99,0
12788102,33069202,3868179,400898083,397920818,270,0
7336061,9578137,3969815,251470980,113091487,20,0
33479990,85442125,3308205,886811900,852927647,496,0
12881662,32985877,3243193,403079482,361663935,190,0
6032746,15584052,3977671,211109620,89147046,12,0
26144881,68717996,3935761,729299144,702499861,38,0
26201143,68856700,3353520,730568322,730466247,5,0
15726819,40931250,3818682,475218730,475218729,312,0
16081995,33397870,4126920,487849231,487849225,177,0
11258974,30244651,3658111,364740582,354720153,1,0
16755054,11529740,4007658,505566788,504603427,40,0
16786731,45012147,4062707,506329841,501983565,481,0
45014655,108558510,3532665,1119329145,929708450,7,0
39718479,98778107,3221562,1018070170,1018062999,147,0
33245028,84952905,4045665,882487786,64794271,3,0
33336016,85146715,3877153,884220303,360326986,39,0
7982556,13637067,3669648,270546263,270545086,30,0
8212260,13444652,3989504,277399203,253368787,36,0
23245573,61822467,3472172,665444688,164834616,16,0
18007187,46194707,3818682,536795078,535487608,347,0
37315041,61913844,3529329,965199790,957037137,85,0
5764912,14844407,3785263,203382283,203375800,211,0
26049631,68463194,3803810,726819657,719983045,399,0
11103132,29965640,3385956,361093745,361090641,6,0
6259624,16274641,4010384,217405778,104997479,14,0
6298924,11853643,3296882,218556848,218519763,140,0
11299885,12504461,3522760,365964568,42451688,15,0
11483166,30733566,3412911,370432657,364562017,174,0
39038637,55262262,3643979,1003473100,999448964,111,0
39105597,9790939,3980561,1004783542,811462805,26,0
6975366,10423769,4044704,241215296,235049586,8,0
17275030,46283093,3901788,517529045,137864173,3,0
12398998,31413312,3932542,391717251,391695523,18,0
12795690,33081517,3898579,401057460,401057522,262,0
33278434,85022414,3451332,883107163,867150412,12,0
52135461,70363843,3701206,1245705921,1244866922,269,0
33987609,68624345,3570907,897239476,883304785,114,0
12865508,33209019,3828799,402712874,401781432,241,0
46114094,110636865,3417069,1140378466,1116530957,185,0
5588405,11714502,3837476,195903828,195901406,129,0
5787926,14915530,3417422,204030026,204028150,8,0
5857623,12772511,3221562,204904982,196559639,78,0
5876136,14987181,3691244,205176714,204690962,26,0
11130099,30007488,3243193,361663938,361663935,182,0
6064268,11523255,3879805,211925296,194602350,33,0
6216513,16160805,3868179,216277448,215475230,109,0
11264087,30256991,3749320,364904807,364298268,31,0
11266702,30264335,3323279,364993935,364981472,95,0
11579796,30901703,3624913,372693402,372664751,52,0
26530924,68613772,3485811,737532165,737392487,40,0
26900296,70573463,3324179,745904603,384943001,24,0
26959665,70699002,4116241,747054707,677796633,20,0
16382252,43829837,3532139,496388622,365228005,2,0
16663811,12578372,4016363,502889924,502889920,54,0
38746156,12626878,3534284,996665701,995896170,61,0
38950657,42830132,3845550,1001624409,964698991,671,0
16871944,45265987,3224410,508403040,500789924,71,0
12478193,32497714,3362526,393591237,325847105,29,0
12772128,33040183,3460795,400526093,276817710,14,0
22783787,60737448,3700554,655531430,651650301,7,0
17655531,46732038,3344272,525603936,523548642,1,0
12988494,30142872,3929176,405333859,405231680,66,0
37589259,9656259,3865669,114333967,110391848,5,0
5780827,14890475,3963626,203818451,104127824,3,0
26208447,49822968,3237241,600565254,729093308,150,0
21424696,56696106,3483589,619028533,584338761,247,0
11288701,30318465,3817270,365671824,258092488,1,0
16465850,42814764,3744310,498413558,492573574,143,0
16936323,45429149,3459120,509743654,509506735,251,0
17215672,31413312,3932542,516267539,498684287,39,0
39147410,70271181,3752372,1005647677,1005647662,32,0
2199863,3096317,3961655,58973766,58973752,19,0
12465561,32464221,3815757,393300132,393268853,261,0
33371505,11529740,4007658,884939162,859781437,71,0
13000123,33435414,3264133,405649443,404883816,40,0
60466061,132810049,3424278,1367045120,1367045111,12,0
17980901,45833613,3703498,536046488,535847771,165,0
2917279,3169116,3815329,86426000,64617888,6,0
5762326,10402442,3785263,194179755,189972720,195,0
5845149,14916086,3446959,204727594,204727581,56,0
6035325,15584052,3977671,211173941,210859929,13,0
16141152,42854310,3619728,488346833,480703243,210,0
6075482,15332533,4028749,212199174,211081325,7,0
6143638,15934762,3410095,214169966,181983353,10,0
11228836,30180143,4011993,363947016,362082044,1,0
11512667,30798927,3308401,371284937,342176835,27,0
38887014,93243629,3459120,1000120158,969700979,377,0
11999884,31586633,3525398,382640372,381942186,21,0
12027414,31715123,3547565,383219432,382875031,14,0
16775339,12578372,4016363,506005750,505966826,59,0
17265420,39063711,3237241,517202796,516445499,109,0
34091157,86813869,3591625,899274111,380564275,13,0
12923977,32155296,3757704,402625714,403757697,194,0
20856863,55879457,3880036,607879139,122644310,2,0
5842068,14985743,3590388,204678307,203469324,99,0
10714974,16297854,4032745,350740292,348557914,41,0
16132286,42996363,4062707,488279608,446966551,474,0
11272639,30270566,3699046,365179848,8128832,20,0
12277104,31433559,3297437,388878143,386607020,49,0
6735498,9694677,4062707,233769995,224702260,348,0
16848013,45207586,3504325,507884253,507877898,21,0
39665931,98675012,3398145,1017029857,978630158,14,0
12673148,32368254,3619728,398355225,398128641,151,0
22480413,60002432,3843042,647850457,595012217,83,0
8231224,12745887,3344533,277851327,277846616,10,0
18250835,49276285,3881388,542780519,519263991,22,0
20778385,55722504,3619728,606187240,573793777,264,0
5626952,9675170,3460829,197777751,197777750,181,0
5905309,14759494,3488235,205891678,205891468,61,0
6007945,15456375,3371881,210373290,210346271,144,0
11084189,29936248,3540395,360681325,355339250,51,0
11103684,29965640,3385956,361106164,361102022,8,0
6348816,9660758,3883067,219909328,202839162,35,0
6360995,11771240,4062707,220564592,217447827,335,0
16462892,43681790,3425562,498319153,414681661,26,0
38689421,96641239,3522549,996311796,584737272,9,0
11883758,31467475,3229189,379925700,379397541,52,0
12629692,11215636,3578709,396954058,396894599,76,0
52310777,101813347,3570907,1248703348,1245069819,154,0
34452245,87565474,3990709,906071058,47005034,1,0
21133506,56429635,3673469,612612437,612612438,3,0
5549299,13803376,3877153,188053056,188052972,15,0
6319660,16409084,3932133,219137926,218856032,27,0
11489788,30750291,3458918,370641652,367150106,14,0
11530328,30826327,3901161,371652698,371455881,9,0
32032546,44761337,4072041,855210361,853399019,148,0
16568044,39063711,3237241,500310263,500257805,95,0
38904906,97064871,3388024,1000555311,993244670,244,0
32923939,84170413,3580267,875232855,103922194,2,0
16857396,44242572,4062707,508063528,501983565,485,0
17183281,42038256,3981786,515544556,487726986,7,0
45098580,44761337,4072041,1121215563,1114405992,180,0
12761185,33022693,3914172,400298846,298744724,3,0
17630702,44761337,4072041,525422436,511230650,92,0
7724397,16509621,3365243,263327674,224144864,54,0
33859638,83472060,3257571,894639616,882956401,539,0
33995051,86607647,3455406,897392480,897035799,96,0
13224145,33848260,3540334,411073907,375009558,53,0
23029200,35530526,3590388,661073687,660895033,184,0
20803898,55744900,3481952,606492810,606329791,12,0
5668308,14481164,3800287,200212568,185272768,55,0
5754031,14809895,4099912,203071264,169688174,6,0
5787894,14915530,3417422,204028901,204028150,7,0
5873773,15058507,3470365,205142982,174559255,14,0
26091991,67558462,3626337,727927538,726792583,221,0
11236436,30196182,4079564,364129220,346882912,76,0
11447824,30611976,3836506,369521290,335024456,10,0
12043547,31740560,3979861,383552147,382659506,16,0
32857233,83938016,3703498,873502394,843389880,230,0
16823674,32394791,3297437,507309862,492609803,57,0
16900036,44772233,3506962,508972788,507245712,84,0
12781281,33055990,3969232,400735105,400710743,23,0
7391646,11586963,3946031,253136686,241357260,298,0
52152243,120609967,4089474,1245976725,1243147680,15,0
33989295,86594211,3868179,897282462,888548758,541,0
